artist_song,generation,recognition
2 Pac|||California Love,-15,0.6037735849056604
2Pac|||How Do U Want It,-15,0.23214285714285715
702|||Where My Girls At?,-15,0.7017543859649122
Ace Of Base|||All That She Wants,-15,0.8823529411764706
Ace Of Base|||Don't Turn Around,-15,0.9487179487179487
Ace Of Base|||The Sign,-15,0.967741935483871
Adina Howard|||Freak Like Me,-15,0.39473684210526316
Aerosmith|||I Don't Want To Miss A Thing,-15,0.9574468085106383
Aerosmith|||Janie's Got A Gun,-15,0.8571428571428571
Alanis Morissette|||Ironic,-15,0.9772727272727273
Alannah Myles|||Black Velvet,-15,0.8888888888888888
Alias|||More Than Words Can Say,-15,0.3333333333333333
All Saints|||Never Ever,-15,0.5098039215686274
All-4-One|||I Swear,-15,0.9444444444444444
Allure|||All Cried Out,-15,0.23076923076923078
Amy Grant|||Baby Baby,-15,0.75
Amy Grant|||Every Heartbeat,-15,0.7692307692307693
Atlantic Starr|||Masterpiece,-15,0.2413793103448276
"B-52's, The|||Roam",-15,0.9583333333333334
BLACKstreet|||No Diggity,-15,0.8444444444444444
Babyface|||When Can I See You,-15,0.21428571428571427
"Backstreet Boys, The|||Everybody ",-15,0.9272727272727272
"Backstreet Boys, The|||Quit Playing Games ",-15,0.9056603773584906
Barenaked Ladies|||One Week,-15,0.9166666666666666
Bell Biv DeVoe|||Do Me!,-15,0.5
Bell Biv DeVoe|||Poison,-15,0.6956521739130435
Bette Midler|||From A Distance,-15,0.6521739130434783
Billy Idol|||Cradle Of Love,-15,0.6666666666666666
Billy Joel|||The River Of Dreams,-15,0.9117647058823529
Billy Ray Cyrus|||Achy Breaky Heart,-15,1.0
Bobby Brown|||Humpin' Around,-15,0.6923076923076923
Bon Jovi|||Always,-15,0.7692307692307693
Bone Thugs N Harmony|||Look Into My Eyes,-15,0.1282051282051282
Bone Thugs N Harmony|||Tha Crossroads,-15,0.4583333333333333
Boyz II Men|||4 Seasons Of Loneliness,-15,0.275
Boyz II Men|||End Of The Road,-15,0.8571428571428571
Boyz II Men|||I'll Make Love To You,-15,0.6428571428571429
Boyz II Men|||In The Still Of The Nite ,-15,0.5
Boyz II Men|||It's So Hard To Say Goodbye To Yesterday,-15,0.5238095238095238
Boyz II Men|||Motownphilly,-15,0.6190476190476191
Boyz II Men|||On Bended Knee,-15,0.6361323155216285
Boyz II Men|||Water Runs Dry,-15,0.5
Brandy and Monica|||The Boy Is Mine,-15,0.8269230769230769
Brandy|||Baby,-15,0.21739130434782608
Brandy|||Have You Ever?,-15,0.5172413793103449
Brandy|||Sittin' Up In My Room,-15,0.40384615384615385
Brian McKnight|||Back At One,-15,0.5957446808510638
Britney Spears|||..Baby One More Time,-15,1.0
Bryan Adams|||All For Love,-15,0.8285714285714286
Bryan Adams|||Can't Stop This Thing We Started,-15,0.8928571428571429
Bryan Adams|||Everything I Do I Do It For You,-15,0.875
Bryan Adams|||Have You Ever Really Loved A Woman?,-15,0.6388888888888888
Busta Rhymes|||What's It Gonna Be?!,-15,0.32075471698113206
C and C Music Factory|||Gonna Make You Sweat,-15,0.9166666666666666
C and C Music Factory|||Here We Go,-15,0.8333333333333334
C+C Music Factory|||Things That Make You Go Hmmmm,-15,0.7647058823529411
Calloway|||I Wanna Be Rich,-15,0.21052631578947367
Cathy Dennis|||Touch Me ,-15,0.5
Celine Dion|||All By Myself,-15,0.84
Celine Dion|||Because You Loved Me,-15,0.7391304347826086
Celine Dion|||If You Asked Me To,-15,0.3448275862068966
Celine Dion|||It's All Coming Back To Me Now,-15,0.7441860465116279
Celine Dion|||My Heart Will Go On,-15,1.0
Celine Dion|||The Power Of Love,-15,0.8108108108108109
Celine Dion|||Where Does My Heart Beat Now,-15,0.5217391304347826
Changing Faces|||Stroke You Up,-15,0.1111111111111111
Cher|||Believe,-15,1.0
Christina Aguilera|||Genie In A Bottle,-15,0.9772727272727273
Color Me Badd|||All 4 Love,-15,0.6190476190476191
Color Me Badd|||I Adore Mi Amor,-15,0.3333333333333333
Color Me Badd|||I Wanna Sex You Up,-15,0.8695652173913043
Coolio|||Fantastic Voyage,-15,0.6875
Coolio|||Gangsta's Paradise,-15,0.9857142857142858
Crash Test Dummies|||Mmm Mmm Mmm Mmm,-15,0.896551724137931
