artist_song,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
2 Pac|||California Love,0.6037735849056604,0.6938775510204082,0.7083333333333334,0.5416666666666666,0.7608695652173914,0.4117647058823529,0.65,0.5737704918032787,0.5833333333333334,0.40425531914893614,0.46153846153846156,0.4444444444444444,0.28888888888888886,0.38235294117647056,0.2777777777777778,0.34210526315789475,0.375,0.2692307692307692,0.11538461538461539,0.23076923076923078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2Pac|||How Do U Want It,0.23214285714285715,0.30612244897959184,0.2830188679245283,0.18421052631578946,0.4067796610169492,0.2708333333333333,0.20634920634920634,0.2982456140350877,0.13559322033898305,0.17647058823529413,0.24074074074074073,0.06521739130434782,0.10526315789473684,0.14285714285714285,0.05714285714285714,0.08108108108108109,0.0625,0.0,0.13043478260869565,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
702|||Where My Girls At?,0.7017543859649122,0.6666666666666666,0.609375,0.6290322580645161,0.6976744186046512,0.42592592592592593,0.5510204081632653,0.39215686274509803,0.47619047619047616,0.30612244897959184,0.36363636363636365,0.40476190476190477,0.1891891891891892,0.2692307692307692,0.22580645161290322,0.15384615384615385,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ace Of Base|||All That She Wants,0.8823529411764706,1.0,1.0,0.9285714285714286,0.9696969696969697,0.88,0.9433962264150944,0.9444444444444444,1.0,0.8571428571428571,0.8863636363636364,0.8813559322033898,0.7959183673469388,0.627906976744186,0.8205128205128205,0.6136363636363636,0.7209302325581395,0.5217391304347826,0.5675675675675675,0.4827586206896552,0.6,0.5185185185185185,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ace Of Base|||Don't Turn Around,0.9487179487179487,0.918918918918919,0.8936170212765957,0.9069767441860465,0.8333333333333334,0.8070175438596491,0.7538461538461538,0.7931034482758621,0.6363636363636364,0.5111111111111111,0.6,0.6181818181818182,0.6226415094339622,0.45652173913043476,0.40816326530612246,0.4375,0.3673469387755102,0.46875,0.40540540540540543,0.3103448275862069,0.47058823529411764,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ace Of Base|||The Sign,0.967741935483871,0.9583333333333334,1.0,0.9512195121951219,1.0,0.9607843137254902,0.9387755102040817,0.9074074074074074,0.948051948051948,0.95,0.9454545454545454,0.8490566037735849,0.84,0.775,0.673469387755102,0.7692307692307693,0.5952380952380952,0.6829268292682927,0.65,0.5526315789473685,0.6363636363636364,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adina Howard|||Freak Like Me,0.39473684210526316,0.4090909090909091,0.4444444444444444,0.26666666666666666,0.2962962962962963,0.26,0.1590909090909091,0.15151515151515152,0.1875,0.1836734693877551,0.25,0.16666666666666666,0.2857142857142857,0.15217391304347827,0.13043478260869565,0.06818181818181818,0.09090909090909091,0.17647058823529413,0.20833333333333334,0.045454545454545456,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerosmith|||I Don't Want To Miss A Thing,0.9574468085106383,0.9591836734693877,0.96,0.9661016949152542,0.9787234042553191,0.9846153846153847,0.8913043478260869,0.9375,0.8333333333333334,0.7586206896551724,0.8055555555555556,0.875,0.813953488372093,0.6756756756756757,0.8333333333333334,0.7419354838709677,0.47368421052631576,0.45454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aerosmith|||Janie's Got A Gun,0.8571428571428571,0.92,0.7777777777777778,0.8787878787878788,0.7096774193548387,0.875,0.7027027027027027,0.58,0.5151515151515151,0.5434782608695652,0.7560975609756098,0.5614035087719298,0.5061728395061729,0.29545454545454547,0.42,0.35714285714285715,0.4489795918367347,0.26666666666666666,0.3220338983050847,0.22727272727272727,0.23255813953488372,0.2619047619047619,0.15789473684210525,0.18518518518518517,0.08695652173913043,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alanis Morissette|||Ironic,0.9772727272727273,1.0,0.9183673469387755,0.9736842105263158,0.9827586206896551,1.0,0.9322033898305084,0.94,0.9821428571428571,0.8333333333333334,0.8979591836734694,0.7543859649122807,0.7222222222222222,0.7142857142857143,0.6666666666666666,0.6,0.5882352941176471,0.5833333333333334,0.6190476190476191,0.46875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
