artist_song,generation,recognition
2 Pac|||California Love,-13,0.648
2Pac|||How Do U Want It,-13,0.265
702|||Where My Girls At?,-13,0.631
Ace Of Base|||All That She Wants,-13,0.963
Ace Of Base|||Don't Turn Around,-13,0.899
Ace Of Base|||The Sign,-13,0.979
Adina Howard|||Freak Like Me,-13,0.415
Aerosmith|||I Don't Want To Miss A Thing,-13,0.959
Aerosmith|||Janie's Got A Gun,-13,0.820
Alanis Morissette|||Ironic,-13,0.970
Alannah Myles|||Black Velvet,-13,0.926
Alias|||More Than Words Can Say,-13,0.338
All Saints|||Never Ever,-13,0.554
All-4-One|||I Swear,-13,0.934
Allure|||All Cried Out,-13,0.236
Amy Grant|||Baby Baby,-13,0.761
Amy Grant|||Every Heartbeat,-13,0.693
Atlantic Starr|||Masterpiece,-13,0.268
"B-52's, The|||Roam",-13,0.875
BLACKstreet|||No Diggity,-13,0.854
Babyface|||When Can I See You,-13,0.280
"Backstreet Boys, The|||Everybody ",-13,0.974
"Backstreet Boys, The|||Quit Playing Games ",-13,0.899
Barenaked Ladies|||One Week,-13,0.884
Bell Biv DeVoe|||Do Me!,-13,0.552
Bell Biv DeVoe|||Poison,-13,0.707
Bette Midler|||From A Distance,-13,0.769
Billy Idol|||Cradle Of Love,-13,0.563
Billy Joel|||The River Of Dreams,-13,0.926
Billy Ray Cyrus|||Achy Breaky Heart,-13,0.969
Bobby Brown|||Humpin' Around,-13,0.730
Bon Jovi|||Always,-13,0.741
Bone Thugs N Harmony|||Look Into My Eyes,-13,0.197
Bone Thugs N Harmony|||Tha Crossroads,-13,0.595
Boyz II Men|||4 Seasons Of Loneliness,-13,0.280
Boyz II Men|||End Of The Road,-13,0.810
Boyz II Men|||I'll Make Love To You,-13,0.669
Boyz II Men|||In The Still Of The Nite,-13,0.537
Boyz II Men|||It's So Hard To Say Goodbye To Yesterday,-13,0.537
Boyz II Men|||Motownphilly,-13,0.605
Boyz II Men|||On Bended Knee,-13,0.587
Boyz II Men|||Water Runs Dry,-13,0.507
Brandy and Monica|||The Boy Is Mine,-13,0.807
Brandy|||Baby,-13,0.308
Brandy|||Have You Ever?,-13,0.484
Brandy|||Sittin' Up In My Room,-13,0.318
Brian McKnight|||Back At One,-13,0.585
Britney Spears|||..Baby One More Time,-13,0.990
Bryan Adams|||All For Love,-13,0.725
Bryan Adams|||Can't Stop This Thing We Started,-13,0.780
Bryan Adams|||Everything I Do I Do It For You,-13,0.952
Bryan Adams|||Have You Ever Really Loved A Woman?,-13,0.650
Busta Rhymes|||What's It Gonna Be?!,-13,0.339
C and C Music Factory|||Gonna Make You Sweat,-13,0.936
C and C Music Factory|||Here We Go,-13,0.841
C+C Music Factory|||Things That Make You Go Hmmmm,-13,0.715
Calloway|||I Wanna Be Rich,-13,0.252
Cathy Dennis|||Touch Me,-13,0.601
Celine Dion|||All By Myself,-13,0.852
Celine Dion|||Because You Loved Me,-13,0.757
Celine Dion|||If You Asked Me To,-13,0.431
Celine Dion|||It's All Coming Back To Me Now,-13,0.710
Celine Dion|||My Heart Will Go On,-13,1.000
Celine Dion|||The Power Of Love,-13,0.773
Celine Dion|||Where Does My Heart Beat Now,-13,0.509
Changing Faces|||Stroke You Up,-13,0.130
Cher|||Believe,-13,1.000
Christina Aguilera|||Genie In A Bottle,-13,0.976
Color Me Badd|||All 4 Love,-13,0.629
Color Me Badd|||I Adore Mi Amor,-13,0.384
Color Me Badd|||I Wanna Sex You Up,-13,0.767
Coolio|||Fantastic Voyage,-13,0.616
Coolio|||Gangsta's Paradise,-13,0.988
Crash Test Dummies|||Mmm Mmm Mmm Mmm,-13,0.818
D.R.S.|||Gangsta Lean,-13,0.161
DJ Jazzy Jeff and The Fresh Prince|||Summertime,-13,0.737
Damn Yankees|||High Enough,-13,0.262
Deborah Cox|||Nobody's Supposed To Be Here,-13,0.235
Deee-Lite|||Groove Is In The Heart,-13,0.888
"Destiny's Child|||Bills, Bills, Bills",-13,0.793
Divine|||Lately,-13,0.272
Donna Lewis|||I Love You Always Forever,-13,0.782
Dr. Dre|||Nuthin' But A G Thang,-13,0.715
Dru Hill|||How Deep Is Your Love,-13,0.444
Dru Hill|||In My Bed,-13,0.140
Duran Duran|||Ordinary World,-13,0.811
EMF|||Unbelievable,-13,0.976
Elton John|||Can You Feel The Love Tonight,-13,0.929
Elton John|||Candle In The Wind,-13,0.755
En Vogue|||Don't Let Go,-13,0.653
En Vogue|||Hold On,-13,0.554
En Vogue|||My Lovin',-13,0.850
Enigma|||Return To Innocence,-13,0.721
Enrique Iglesias|||Bailamos,-13,0.967
Eric Clapton|||Tears In Heaven,-13,0.871
Everything But The Girl|||Missing,-13,0.641
Extreme|||Hole Hearted,-13,0.519
Extreme|||More Than Words,-13,0.992
George Michael|||Don't Let The Sun Go Down On Me,-13,0.723
George Michael|||Praying For Time,-13,0.434
Glenn Medeiros|||She Ain't Worth It,-13,0.203
Gloria Estefan|||Coming Out Of The Dark,-13,0.247
Guns N' Roses|||November Rain,-13,0.854
H-Town|||Knockin' Da Boots,-13,0.212
Hanson|||MMMbop,-13,0.833
Heart|||All I Wanna Do Is Make Love To You,-13,0.842
"Heights, The|||How Do You Talk To An Angel",-13,0.657
Hi-Five|||I Like The Way,-13,0.377
House Of Pain|||Jump Around,-13,0.955
Ini Kamoze|||Here Comes The Hotstepper,-13,0.905
Jade|||Don't Walk Away,-13,0.518
James Ingram|||I Don't Have The Heart,-13,0.588
Jane Child|||Don't Wanna Fall In Love,-13,0.576
Janet Jackson|||Again,-13,0.553
Janet Jackson|||Alright,-13,0.566
Janet Jackson|||And On And On,-13,0.141
"Janet Jackson|||Any Time, Any Place",-13,0.284
Janet Jackson|||Black Cat,-13,0.486
Janet Jackson|||Come Back To Me,-13,0.404
Janet Jackson|||Escapade,-13,0.552
Janet Jackson|||If,-13,0.595
Janet Jackson|||Love Will Never Do,-13,0.563
Janet Jackson|||Runaway,-13,0.628
Janet Jackson|||That's The Way Love Goes,-13,0.566
Janet|||I Get Lonely,-13,0.320
Janet|||Together Again,-13,0.612
Jennifer Lopez|||If You Had My Love,-13,0.921
Jennifer Paige|||Crush,-13,0.666
Jessica Simpson|||I Wanna Love You Forever,-13,0.255
"Jesus Jones|||Real, Real, Real",-13,0.290
"Jesus Jones|||Right Here, Right Now",-13,0.792
Jewel|||You Were Meant For Me,-13,0.760
Joan Osborne|||One Of Us,-13,0.965
Jodeci|||Lately,-13,0.212
Jody Watley|||Everything,-13,0.278
Joe Public|||Live And Learn,-13,0.503
John Mellencamp|||Wild Night,-13,0.581
Johnny Gill|||Rub You The Right Way,-13,0.352
Jon Bon Jovi|||Blaze Of Glory,-13,0.552
K-Ci and JoJo|||All My Life,-13,0.755
K-Ci and JoJo|||Tell Me It's Real,-13,0.315
Karyn White|||Romantic,-13,0.297
Keith Sweat|||Nobody,-13,0.127
Keith Sweat|||Twisted,-13,0.319
Kris Kross|||Jump,-13,0.889
LFO|||Summer Girls,-13,0.606
LL Cool J|||Hey Lover,-13,0.313
LL Cool J|||Loungin',-13,0.259
LSG|||My Body,-13,0.138
Lauryn Hill|||Doo Wop,-13,0.743
LeAnn Rimes|||How Do I Live,-13,0.644
Lenny Kravitz|||It Ain't Over Til It's Over,-13,0.910
Lisa Loeb and Nine Stories|||Stay,-13,0.801
Lisa Stansfield|||All Around The World,-13,0.897
Londonbeat|||I've Been Thinking About You,-13,0.823
Los Del Rio|||Macarena,-13,0.969
Lou Bega|||Mambo No. 5,-13,1.000
Luther Vandross|||Endless Love,-13,0.515
Luther Vandross|||Power Of Love,-13,0.389
M.C. Hammer|||Have You Seen Her,-13,0.354
M.C. Hammer|||Pray,-13,0.586
Madonna|||Erotica,-13,0.724
Madonna|||Frozen,-13,0.746
Madonna|||I'll Remember,-13,0.609
Madonna|||Justify My Love,-13,0.750
Madonna|||Secret,-13,0.846
Madonna|||Take A Bow,-13,0.798
Madonna|||This Used To Be My Playground,-13,0.599
Madonna|||Vogue,-13,0.977
Marc Anthony|||I Need To Know,-13,0.773
Mariah Carey|||Always Be My Baby,-13,0.763
Mariah Carey|||Can't Let Go,-13,0.501
Mariah Carey|||Dreamlover,-13,0.858
Mariah Carey|||Emotions,-13,0.718
Mariah Carey|||Fantasy,-13,0.753
Mariah Carey|||Heartbreaker,-13,0.635
Mariah Carey|||Hero,-13,0.643
Mariah Carey|||Honey,-13,0.427
Mariah Carey|||I Don't Wanna Cry,-13,0.448
Mariah Carey|||I Still Believe,-13,0.385
Mariah Carey|||I'll Be There,-13,0.862
Mariah Carey|||Love Takes Time,-13,0.605
Mariah Carey|||My All,-13,0.445
Mariah Carey|||Never Forget You,-13,0.374
Mariah Carey|||One Sweet Day,-13,0.734
Mariah Carey|||Someday,-13,0.598
Mariah Carey|||Vision Of Love,-13,0.551
Mariah Carey|||Without You,-13,0.877
Mark Morrison|||Return Of The Mack,-13,0.753
Marky Mark and The Funky Bunch|||Good Vibrations,-13,0.962
Mary J. Blige|||Not Gon' Cry,-13,0.193
Maxi Priest|||Close To You,-13,0.777
Maxwell|||Fortunate,-13,0.133
Meat Loaf|||I'd Do Anything For Love,-13,0.925
Meredith Brooks|||Bitch,-13,0.807
Merril Bainbridge|||Mouth,-13,0.368
Method Man|||I'll Be There For You,-13,0.337
Michael Bolton|||How Am I Supposed To Live Without You,-13,0.930
Michael Bolton|||How Can We Be Lovers,-13,0.840
Michael Bolton|||Love Is A Wonderful Thing,-13,0.624
