artist_song,song_url
Whitney Houston|||I Will Always Love You,https://p.scdn.co/mp3-preview/87cd92b04f6501ecace9f7f2a6b12802fc2cc437
Savage Garden|||I Knew I Loved You,https://p.scdn.co/mp3-preview/f0cfba5a34f233a8e15af6df8a54b5fbba040429
Santana|||Smooth,https://p.scdn.co/mp3-preview/9f977ebb2e695502c8b1d3bd678ef706c9ea4ccb
Jennifer Lopez|||If You Had My Love,https://p.scdn.co/mp3-preview/044024003a62bfcddff14658005aee0cc5533510
Christina Aguilera|||Genie In A Bottle,https://p.scdn.co/mp3-preview/8ecee53143507b9426fbc056eb2666a866e54a0d
Ricky Martin|||Livin' La Vida Loca,https://p.scdn.co/mp3-preview/5fdf7aacfed97c3f3d476f58dac07b8214421acc
TLC|||No Scrubs,https://p.scdn.co/mp3-preview/69daa711bddd8fe7aa9acf17106ca85cf1ccfa14
Cher|||Believe,https://p.scdn.co/mp3-preview/fac166f83e526909bef1ee8446dfd8e3f0ccf861
Monica|||Angel Of Mine,https://p.scdn.co/mp3-preview/7959cec67ef0e5fb1ea39350970c601160624c79
TLC|||Unpretty,https://p.scdn.co/mp3-preview/6b6dc4fe14511b523604bc25893defe6236c4f1c
Britney Spears|||..Baby One More Time,https://p.scdn.co/mp3-preview/da2134a161f1cb34d17c2d6d7e77cc93d1c1e6f7
Brandy|||Have You Ever?,https://p.scdn.co/mp3-preview/6e0b56073fbd4cc5290759e5175a0d0de1867c54
Mariah Carey|||Heartbreaker,https://p.scdn.co/mp3-preview/c4522db572fa316207364697ecd819f4fc2aa15c
Enrique Iglesias|||Bailamos,https://p.scdn.co/mp3-preview/b6024500f1a0354b439033bd8d16bc630df74a7e
"Destiny's Child|||Bills, Bills, Bills",https://p.scdn.co/mp3-preview/5947a78d5f8dbf6cd776b9fef4aedda4c406f8ba
Will Smith|||Wild Wild West,https://p.scdn.co/mp3-preview/3adf0f00d728e3ab23c7dd167dbaedfdcd2ef6fe
Brian McKnight|||Back At One,https://p.scdn.co/mp3-preview/0f723387fdac72852026b01083b0d6573d1f46b7
Whitney Houston|||Heartbreak Hotel,https://p.scdn.co/mp3-preview/a3b70a844a83bca8d3c6602e1c2681d18c96c1b9
Puff Daddy|||Satisfy You,https://p.scdn.co/mp3-preview/8b8e7123bcb41d2e90325eb56b8ab40a4bfe08ef
Ricky Martin|||She's All I Ever Had,https://p.scdn.co/mp3-preview/a9e30d4cc470b81e51e73e4c29da6ae7a3e6b05f
Sixpence None The Richer|||Kiss Me,https://p.scdn.co/mp3-preview/15689b6d7dc9bcbb5f476160fd573342827c83cf
Pearl Jam|||Last Kiss,https://p.scdn.co/mp3-preview/98609a653d88baf961226faf9555e60b0ad94616
K-Ci and JoJo|||Tell Me It's Real,https://p.scdn.co/mp3-preview/1cfe74156ce14c3f59ba3e9d7b37cab5cd0bbf31
Jessica Simpson|||I Wanna Love You Forever,https://p.scdn.co/mp3-preview/ab83dc548ebdf5d229fa2fe68e4dc03684485ff8
LFO|||Summer Girls,https://p.scdn.co/mp3-preview/0986ff170e2a1bbd8f85d4fa8fddc46c3d5286d6
Sugar Ray|||Every Morning,https://p.scdn.co/mp3-preview/8f44a10c7b279459343b2709f609c17aa78b2c3b
Marc Anthony|||I Need To Know,https://p.scdn.co/mp3-preview/66403c1f00e40679fac7e127c076e30abdfe604e
Lou Bega|||Mambo No. 5 ,https://p.scdn.co/mp3-preview/085e154a4f2fcb73fbb5a97666bd1b31a92f3c7e
Busta Rhymes|||What's It Gonna Be?!,https://p.scdn.co/mp3-preview/d691bae3a872992d1aa3739777c724b0af2619e8
Maxwell|||Fortunate,https://p.scdn.co/mp3-preview/873605270c25d8d2f1fa5255add1c1c36f803cd2
